date,GP_PO,sku,from_facility,to_facility,warehouse,quantity,received_quantity,Intransit_quantity,brand
2026-08-03,OGRMH2627/0056,LR002-XIN,OPP_RSG_MH,OPP_EKT_KA,WareIQ,-6,0.0,6.0,GTPlayer
2026-08-03,OGRMH2627/0057,COR-B0CTXGCYD9,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CTXHBD95,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CTXHSX37,OPP_RSG_MH,ISK3,To Amazon FBA,-45,0.0,45.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CTXHXGCD,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CTXKK43X,OPP_RSG_MH,ISK3,To Amazon FBA,-45,0.0,45.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CTZG1VDR,OPP_RSG_MH,ISK3,To Amazon FBA,-20,0.0,20.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CTZGWN7C,OPP_RSG_MH,ISK3,To Amazon FBA,-40,0.0,40.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CTZVK72S,OPP_RSG_MH,ISK3,To Amazon FBA,-40,0.0,40.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CWY7JBDD,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CWY7NKXL,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CWY7YQVB,OPP_RSG_MH,ISK3,To Amazon FBA,-40,0.0,40.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CWY8793R,OPP_RSG_MH,ISK3,To Amazon FBA,-40,0.0,40.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CX5MV23M,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0CX5MZGJ6,OPP_RSG_MH,ISK3,To Amazon FBA,-54,0.0,54.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PFH255,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PL5GBC,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PMC4L1,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PMQDTG,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PMQF62,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PMQL6P,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PMSBNN,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PNBMLF,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PNXNXT,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PP7R59,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PQ2SPX,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PQ3BL3,OPP_RSG_MH,ISK3,To Amazon FBA,-40,0.0,40.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PQ637K,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PSNSMT,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PVH8HP,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D8PZK2PN,OPP_RSG_MH,ISK3,To Amazon FBA,-40,0.0,40.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D9GYPKJN,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D9H5WF75,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0D9XKDP3S,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0FVFTKRBP,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0FVFWZL5C,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0FVFXMZH4,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0FVFY3644,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0FVFYSD5B,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0G2GFFQX8,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0G2GFMFLJ,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-03,OGRMH2627/0057,COR-B0G2GG65TG,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-08-06,OGRMH2627/0060,BL-AUC013BTSA,OPP_RSG_MH,OPP_WIQ_MH_1,WareIQ,-12,4.0,8.0,Belkin
2026-08-11,OGRMH2627/0065,BL-AVC012BT2MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-08-11,OGRMH2627/0065,BL-AVC022FQBK,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-08-11,OGRMH2627/0065,BL-CAA017QC05WH,OPP_RSG_MH,ISK3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-08-11,OGRMH2627/0065,BL-CAA022FQ2MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-12,0.0,12.0,Belkin
2026-08-11,OGRMH2627/0065,BL-CAB005BT1MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-54,0.0,54.0,Belkin
2026-08-11,OGRMH2627/0065,BL-CAB014BT3MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-12,0.0,12.0,Belkin
2026-08-11,OGRMH2627/0065,BL-CAB014BT3MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-08-11,OGRMH2627/0065,BL-CAB021FQ2MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
